QueryID 	Topic 	Description 	Narrative 
235	Kuþ Gribi	Kuþ gribi nedir, nasýl bulaþýr, belirtileri nelerdir sorularýna cevap olabilecek dokümanlar. 	Kuþ gribi ile alakalý her türlü bilginin elde edilebileceði bir doküman olmalý. Hastalýðýnýn tanýmýný, bulaþma yollarýný, belirtilerini, varsa tedavi yollarýný ve buna benzer birçok konuyu okuyucuya açýklayan nitelikte bir doküman.
238	Kýbrýs Sorunu	Türkiye’nin Avrupa Birliði’ne tam üyelik sürecinde Kýbrýs sorununu ele alan bir doküman.	Kýbrýs sorununun, Türkiye’nin Avrupa Birliði’ne tam üyelik sürecinde getirebileceði olumsuzluklarý anlatan ayný zamanda bu sorunu en uygun þekilde nasýl çözülebileceðini anlatan bir doküman olmalý. 
241	Üniversiteye giriþ sýnavý	Türkiye’de üniversiteye giriþ sýnavýnýn gençler üzerindeki etkileri, gençlerin ve kamuoyunun bu sýnav için düþündükleri.	Gençlerin üniversiteye giriþ sýnavý sürecinde yasadýklarý, bu sýnavýn gençlerin üzerindeki etkileri, dershaneler ve sýnavýn kapsamý konusunda yapýlan öneriler ve görüþler.
243	Tsunami	Güney Asya’yý 26 Aralýk 2004’te vuran büyük Tsunami faciasý ve bu facianýn sonuçlarý.	Güney Asya’da 26 Aralýk 2004 tarihinde meydana gelen 8.9 büyüklüðündeki deprem ve bu deprem sonrasýnda oluþan dev dalgalar, bu facia sonrasýnda hangi ülkede kaç kiþinin öldüðüne dair bilgiler, ve afetten sonra diðer ülkeler tarafýndan yapýlan yardýmlarý içeren bir doküman.
244	Mavi Akým Doðalgaz Projesi	Mavi akýmýn ulusal enerji politikamýzdaki yeri, ekonomik maliyeti	
258	Deprem Tedbir Önlem	Büyük bir bölümü deprem bölgesi olan Türkiye'de deprem öncesi alýnan tedbirler nelerdir?	Deprem hasarlarýný en aza indirmek için alýnan önlemler nelerdir? Bu konuda ne tür çalýþmalar yapýlmaktadýr ve yapýlan çalýþmalar yeterli midir? Halk deprem konusunda ne kadar bilinçlidir? 
265	Türkiye PKK çatýþmalarý	Türk Silahlý Kuvvetleri ile PKK arasýnda meydana gelen çatýþmalar	Türk Silahlý Kuvvetleri ile PKK arasýnda meydana gelen çatýþmalarý ve bu çatýþmalar sonucunda þehit olan askerlerin sayýsý ile ilgili bilgi veren bir doküman olmalý. Bunlara ek olarak bu doküman PKK’nýn Türkiye’yi ekonomik açýdan nasýl olumsuz etkilediðine dair somut örnekler verebilmeli.
270	Film Festivalleri	Türkiye’ de gerçekleþtirilen film festivalleri ve bu festivallerde ödül alan sanatçýlar.	3-9 Ekim 2004 tarihleri arasýnda yapýlan Antalya Altýn Portakal Film Festivalinde Yaþam Boyu Onur Ödülü, Türk Sinema Tarihi’nin yaþayan efsanelerinden biri olan Þener Þen’e verilmesi, ayný festivalde verilen diðer ödüller ve bu ödüllerin sahiplerini içeren bir doküman.
271	Bedelli askerlik uygulamasý	Askerlik hizmetinin bedelli olarak yapýlmasýnýn Türk kamuoyu üzerindeki etkileri, ilgili makamlarýn söz konusu uygulama hakkýndaki görüþleri.	Bedelli askerlik uygulamasýnýn askerlik çaðýný çoktan geçmiþ kiþilerin hayatlarýndaki etkileri, askerlik korkusu ile yaþayanlar için bir kurtuluþ yolu olduðunu düþünenlerin görüþleri, ilgili makamlarýn açýklamalarý, ortadireðin tepkileri, politikacýlarýn oy amacýyla konuya iliþkin oluþturduklarý gündem ve konu ile ilgili yapýlan tartýþmalar.
278	Stresle Baþa Çýkma Yollarý 	Günlük hayatýmýzý birçok yönden olumsuz etkileyen stresle nasýl mücadele edebiliriz?	Çaðýmýz insanýnýn en sýk karþýlaþtýðý sorunlardan biri olan ve günlük yaþantý kalitemizi olumsuz yönde etkileyen stresle nasýl mücadele edebiliriz, uzmanlar stres oluþumunu nelere baðlýyorlar ve bu sorunu yenebilmemiz için nasýl tavsiyelerde bulunuyorlar?
